,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
0,Intel i815 Graphics,1,2000-01-01,150.0,81.35998107852413,194.86235318359778,2692.6519678549353,133.0,2.0,2.0
1,NVIDIA Vanta LT,1,2000-03-01,250.0,81.35998107852413,90.0,15.0,105.0,7.0,3.0
2,Sony Playstation 2 GPU 250nm,1,2000-03-04,250.0,79.0,279.0,54.0,147.0,6.0,4.0
3,ATI Radeon DDR,1,2000-04-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
4,ATI Radeon 7200 64 MB,1,2000-04-01,180.0,23.0,111.0,30.0,166.0,7.0,1.0
5,ATI Radeon 7200,1,2000-04-01,180.0,23.0,111.0,30.0,166.0,7.0,1.0
6,NVIDIA GeForce2 GTS PRO,1,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
7,NVIDIA GeForce2 GTS,1,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
8,ATI Radeon 7200,1,2000-06-01,180.0,23.0,111.0,30.0,143.0,7.0,1.0
9,ATI Fire GL3,1,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,1.0,1.0
10,ATI Fire GL2,1,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,1.0,1.0
11,ATI Radeon SDR PCI,1,2000-06-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
12,ATI Radeon DDR MAXX,1,2000-06-01,180.0,81.35998107852413,115.0,30.0,148.0,7.0,1.0
13,ATI Radeon SDR,1,2000-06-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
14,AMD Athlon 700,0,2000-06-05,180.0,40.0,120.0,37.0,700.0,9.0,0.0
15,AMD Athlon 650,0,2000-06-05,180.0,38.0,120.0,37.0,650.0,9.0,0.0
16,AMD Athlon 950,0,2000-06-05,180.0,52.0,120.0,37.0,950.0,9.0,0.0
17,AMD Athlon 800,0,2000-06-05,180.0,45.0,120.0,37.0,800.0,9.0,0.0
18,AMD Athlon 900,0,2000-06-05,180.0,50.0,120.0,37.0,900.0,9.0,0.0
19,AMD Athlon 1000,0,2000-06-05,180.0,54.0,120.0,37.0,1000.0,9.0,0.0
20,AMD Athlon 750,0,2000-06-05,180.0,43.0,120.0,37.0,750.0,9.0,0.0
21,AMD Athlon 850,0,2000-06-05,180.0,47.0,120.0,37.0,850.0,9.0,0.0
22,AMD Athlon 600,0,2000-06-05,180.0,38.0,120.0,37.0,600.0,9.0,0.0
23,3dfx Voodoo5 5500 PCI,1,2000-06-22,250.0,30.0,112.0,14.0,166.0,7.0,4.0
24,3dfx Voodoo5 5500 AGP,1,2000-06-22,250.0,30.0,112.0,14.0,166.0,7.0,4.0
25,NVIDIA GeForce2 MX DH Pro TV,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
26,NVIDIA GeForce2 MX,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
27,NVIDIA GeForce2 MX PCI,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
28,NVIDIA GeForce2 MX DH Pro TV PCI,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
29,NVIDIA Quadro2 MXR Low Profile,1,2000-07-25,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
30,NVIDIA Quadro2 MXR,1,2000-07-25,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
31,Intel Pentium III 1133,0,2000-07-31,180.0,29.0,80.0,44.0,1133.0,2.0,2.0
32,ATI All-In-Wonder Radeon 7200,1,2000-07-31,180.0,81.35998107852413,111.0,30.0,166.0,7.0,1.0
33,AMD Athlon 1100,0,2000-08-14,180.0,60.0,120.0,37.0,1100.0,9.0,0.0
34,NVIDIA GeForce2 Ultra,1,2000-08-14,150.0,81.35998107852413,88.0,25.0,250.0,7.0,3.0
35,ATI GameCube GPU,1,2000-08-24,180.0,45.0,120.0,51.0,162.0,3.0,1.0
36,3dfx Voodoo4 4500 AGP,1,2000-10-13,250.0,15.0,112.0,14.0,166.0,7.0,4.0
37,3dfx Voodoo4 4500 PCI,1,2000-10-13,250.0,15.0,112.0,14.0,166.0,7.0,4.0
38,AMD Athlon 1200,0,2000-10-17,180.0,66.0,120.0,37.0,1200.0,9.0,0.0
39,AMD Athlon 1200,0,2000-10-31,180.0,66.0,120.0,37.0,1200.0,9.0,0.0
40,AMD Athlon 1133,0,2000-10-31,180.0,63.0,120.0,37.0,1133.0,9.0,0.0
41,AMD Athlon 1000,0,2000-10-31,180.0,54.0,120.0,37.0,1000.0,9.0,0.0
42,NVIDIA GeForce2 Go,1,2000-11-11,180.0,2.0,64.0,20.0,143.0,7.0,3.0
43,NVIDIA GeForce2 Go,1,2000-11-11,180.0,2.0,64.0,20.0,143.0,7.0,3.0
44,Intel Pentium 4 1.5,0,2000-11-20,180.0,58.0,217.0,42.0,1500.0,2.0,2.0
45,Intel Pentium 4 1.4,0,2000-11-20,180.0,55.0,217.0,42.0,1400.0,2.0,2.0
46,NVIDIA GeForce2 PRO,1,2000-12-05,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
47,AMD Athlon XP-M 2200+,0,2001-01-01,130.0,45.0,101.0,63.0,1667.0,9.0,0.0
48,AMD Athlon XP 1800+,0,2001-01-01,130.0,51.0,80.0,37.0,1533.0,9.0,0.0
49,Intel Pentium 4 HT 515,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
50,AMD Athlon XP-M 2400+,0,2001-01-01,130.0,45.0,101.0,63.0,1800.0,9.0,0.0
51,AMD Athlon XP 2600+ DTR,0,2001-01-01,130.0,68.0,101.0,63.0,1917.0,9.0,0.0
52,Intel Pentium 4 2.0,0,2001-01-01,130.0,110.0,146.0,55.0,2000.0,2.0,2.0
53,AMD Athlon 64 3400+,0,2001-01-01,130.0,89.0,193.0,105.0,2400.0,9.0,0.0
54,AMD Athlon 64 3200+,0,2001-01-01,130.0,89.0,193.0,105.0,2200.0,9.0,0.0
55,AMD Athlon XP 2800+ DTR,0,2001-01-01,130.0,68.0,101.0,63.0,2083.0,9.0,0.0
56,AMD Athlon XP 2800+,0,2001-01-01,130.0,68.0,101.0,63.0,2083.0,9.0,0.0
57,Matrox Parhelia HR256,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
58,AMD Athlon 64 3200+,0,2001-01-01,90.0,59.0,84.0,69.0,2200.0,9.0,0.0
59,AMD Athlon 64 3700+,0,2001-01-01,90.0,89.0,199.0,233.0,2200.0,9.0,0.0
60,AMD Athlon 64 3400+,0,2001-01-01,90.0,67.0,84.0,69.0,2400.0,9.0,0.0
61,Intel Pentium 4 HT 517,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
62,AMD Athlon XP 1700+,0,2001-01-01,130.0,50.0,80.0,37.0,1467.0,9.0,0.0
63,Intel Pentium 4 HT 515,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
64,AMD Sempron 2200+,0,2001-01-01,130.0,62.0,101.0,63.0,1500.0,9.0,0.0
65,AMD Athlon 64 X2 3600+,0,2001-01-01,90.0,89.0,156.0,154.0,2000.0,9.0,0.0
66,AMD Athlon XP 2100+,0,2001-01-01,130.0,62.0,80.0,37.0,1733.0,9.0,0.0
67,AMD Sempron 2300+,0,2001-01-01,130.0,62.0,101.0,63.0,1583.0,9.0,0.0
68,AMD Athlon 64 3000+,0,2001-01-01,90.0,51.0,84.0,69.0,2000.0,9.0,0.0
69,AMD Sempron 2600+,0,2001-01-01,130.0,25.0,144.0,69.0,1600.0,9.0,0.0
70,AMD Athlon XP 1600+,0,2001-01-01,130.0,49.0,80.0,37.0,1400.0,9.0,0.0
71,Intel Pentium 4 HT 517,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
72,AMD Athlon 64 3000+,0,2001-01-01,90.0,51.0,84.0,69.0,2000.0,9.0,0.0
73,Matrox Parhelia Precision SGT,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
74,AMD Athlon XP-M 2500+,0,2001-01-01,130.0,45.0,101.0,63.0,1862.0,9.0,0.0
75,AMD Athlon XP 3200+,0,2001-01-01,130.0,77.0,101.0,63.0,2200.0,9.0,0.0
76,Intel Pentium 4 HT 516,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
77,AMD Athlon XP-M 2600+,0,2001-01-01,130.0,45.0,101.0,63.0,2000.0,9.0,0.0
78,AMD Sempron 2800+,0,2001-01-01,130.0,25.0,144.0,69.0,1600.0,9.0,0.0
79,AMD Athlon 64 4000+,0,2001-01-01,90.0,89.0,199.0,233.0,2400.0,9.0,0.0
80,AMD Sempron 2800+,0,2001-01-01,130.0,62.0,101.0,63.0,2000.0,9.0,0.0
81,AMD Sempron 3300+,0,2001-01-01,130.0,62.0,101.0,63.0,2200.0,9.0,0.0
82,AMD Athlon XP 2200+,0,2001-01-01,130.0,63.0,80.0,37.0,1800.0,9.0,0.0
83,AMD Athlon 64 3400+,0,2001-01-01,90.0,67.0,83.0,69.0,2200.0,9.0,0.0
84,AMD Sempron 2600+,0,2001-01-01,130.0,62.0,101.0,63.0,1833.0,9.0,0.0
85,AMD Athlon XP-M 3000+,0,2001-01-01,130.0,45.0,101.0,63.0,2200.0,9.0,0.0
86,AMD Athlon XP 1700+,0,2001-01-01,130.0,50.0,80.0,37.0,1467.0,9.0,0.0
87,Matrox Parhelia PCI,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
88,AMD Athlon XP 2600+,0,2001-01-01,130.0,68.0,101.0,63.0,1917.0,9.0,0.0
89,Intel Pentium 4 HT 524,0,2001-01-01,90.0,84.0,109.0,125.0,3060.0,2.0,2.0
90,Intel Pentium 4 HT 524,0,2001-01-01,90.0,84.0,109.0,125.0,3060.0,2.0,2.0
91,Intel i830M Graphics,1,2001-01-01,150.0,81.35998107852413,109.0,125.0,166.0,2.0,2.0
92,AMD Athlon 64 3500+,0,2001-01-01,90.0,67.0,115.0,105.0,2200.0,9.0,0.0
93,AMD Athlon XP-M 2000+,0,2001-01-01,130.0,45.0,101.0,63.0,1533.0,9.0,0.0
94,AMD Sempron 2400+,0,2001-01-01,130.0,62.0,101.0,63.0,1667.0,9.0,0.0
95,AMD Sempron 3100+,0,2001-01-01,130.0,25.0,144.0,69.0,1800.0,9.0,0.0
96,AMD Athlon XP 1900+,0,2001-01-01,130.0,53.0,80.0,37.0,1600.0,9.0,0.0
97,AMD Sempron 3000+,0,2001-01-01,130.0,25.0,144.0,69.0,1800.0,9.0,0.0
98,AMD Sempron 2500+,0,2001-01-01,130.0,62.0,101.0,63.0,1750.0,9.0,0.0
99,AMD Athlon XP 3000+,0,2001-01-01,130.0,68.0,101.0,63.0,2100.0,9.0,0.0
100,Matrox Parhelia Precision SDT,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
101,Matrox Parhelia DL256,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
102,Intel Pentium 4 HT 516,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
103,AMD Athlon XP 3000+,0,2001-01-01,130.0,68.0,101.0,63.0,2167.0,9.0,0.0
104,Intel Pentium 4 1.3,0,2001-01-03,180.0,52.0,217.0,42.0,1300.0,2.0,2.0
105,NVIDIA GeForce2 Go 100,1,2001-02-06,180.0,2.0,64.0,20.0,125.0,7.0,3.0
106,NVIDIA GeForce2 Go 200,1,2001-02-06,180.0,2.0,64.0,20.0,143.0,7.0,3.0
107,ATI Radeon 7000,1,2001-02-19,180.0,23.0,80.0,30.0,183.0,7.0,1.0
108,ATI Radeon 7000 PCI,1,2001-02-19,180.0,23.0,80.0,30.0,133.0,7.0,1.0
109,ATI Radeon VE,1,2001-02-19,180.0,23.0,115.0,30.0,183.0,7.0,1.0
110,ATI Radeon VE PCI,1,2001-02-19,180.0,23.0,115.0,30.0,183.0,7.0,1.0
111,NVIDIA GeForce3,1,2001-02-27,150.0,81.35998107852413,128.0,57.0,200.0,7.0,3.0
112,NVIDIA GeForce2 MX 400 PCI,1,2001-03-03,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
113,NVIDIA GeForce2 MX 400,1,2001-03-03,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
114,NVIDIA GeForce2 MX 200 LP,1,2001-03-03,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
115,NVIDIA GeForce2 MX 200,1,2001-03-03,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
116,NVIDIA GeForce2 MX 200 PCI,1,2001-03-03,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
117,ATI Fire GL4,1,2001-03-14,180.0,81.35998107852413,156.0,20.0,150.0,1.0,1.0
118,AMD Athlon 1300,0,2001-03-21,180.0,68.0,120.0,37.0,1300.0,9.0,0.0
119,AMD Athlon 1333,0,2001-03-21,180.0,70.0,120.0,37.0,1333.0,9.0,0.0
120,NVIDIA Quadro2 Pro,1,2001-03-22,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
121,Sony Playstation 2 GPU 180nm,1,2001-04-18,180.0,79.0,188.0,54.0,147.0,6.0,4.0
122,Intel Pentium 4 1.7,0,2001-04-23,180.0,64.0,217.0,42.0,1700.0,2.0,2.0
123,ATI Radeon LE,1,2001-05-01,180.0,81.35998107852413,115.0,30.0,148.0,7.0,1.0
124,NVIDIA Quadro DCC,1,2001-05-14,150.0,81.35998107852413,128.0,57.0,200.0,7.0,3.0
125,Intel Pentium III 1000S,0,2001-06-01,130.0,30.0,80.0,44.0,1000.0,2.0,2.0
126,Intel Pentium III 1133S,0,2001-06-01,130.0,29.0,80.0,44.0,1133.0,2.0,2.0
127,Intel Pentium III  933,0,2001-06-01,180.0,27.0,80.0,44.0,933.0,2.0,2.0
128,Intel Pentium III 1000,0,2001-06-01,180.0,29.0,80.0,44.0,1000.0,2.0,2.0
129,Intel Pentium III  866,0,2001-06-01,180.0,38.0,80.0,44.0,866.0,2.0,2.0
130,Intel Pentium III  800,0,2001-06-01,180.0,38.0,80.0,44.0,800.0,2.0,2.0
131,Intel Pentium III 1133,0,2001-06-01,180.0,29.0,80.0,44.0,1133.0,2.0,2.0
132,NVIDIA GeForce2 MX + nForce 420,1,2001-06-04,180.0,81.35998107852413,65.0,20.0,175.0,9.0,3.0
133,NVIDIA GeForce2 MX + nForce 220,1,2001-06-04,180.0,81.35998107852413,65.0,20.0,175.0,9.0,3.0
134,AMD Athlon 1400,0,2001-06-06,180.0,72.0,120.0,37.0,1400.0,9.0,0.0
135,AMD Athlon 1400,0,2001-06-06,180.0,72.0,120.0,37.0,1400.0,9.0,0.0
136,Intel Pentium III 1133,0,2001-07-01,130.0,29.0,80.0,44.0,1133.0,2.0,2.0
137,Intel Pentium III 1200,0,2001-07-01,130.0,30.0,80.0,44.0,1200.0,2.0,2.0
138,Intel Pentium III 1266S,0,2001-07-01,130.0,30.0,80.0,44.0,1266.0,2.0,2.0
139,Intel Pentium III 1000,0,2001-07-01,130.0,30.0,80.0,44.0,1000.0,2.0,2.0
140,Intel Pentium 4 1.8A,0,2001-07-02,180.0,67.0,217.0,42.0,1800.0,2.0,2.0
141,Intel Pentium 4 1.6,0,2001-07-02,180.0,61.0,217.0,42.0,1600.0,2.0,2.0
142,ATI Radeon 8500,1,2001-08-14,150.0,23.0,120.0,60.0,275.0,7.0,1.0
143,ATI FireGL 8700,1,2001-08-14,150.0,81.35998107852413,120.0,60.0,250.0,7.0,1.0
144,ATI Radeon 7500,1,2001-08-14,150.0,23.0,83.0,60.0,290.0,7.0,1.0
145,ATI Radeon DDR VIVO,1,2001-08-14,180.0,81.35998107852413,115.0,30.0,183.0,7.0,1.0
146,ATI Radeon DDR VIVO OEM,1,2001-08-14,180.0,81.35998107852413,115.0,30.0,166.0,7.0,1.0
147,ATI Radeon DDR VIVO SE,1,2001-08-14,180.0,81.35998107852413,115.0,30.0,187.0,7.0,1.0
148,NVIDIA Quadro2 Go,1,2001-08-14,180.0,81.35998107852413,64.0,20.0,143.0,7.0,3.0
149,ATI Radeon 7500 LE,1,2001-08-14,150.0,23.0,83.0,60.0,250.0,7.0,1.0
150,ATI FireGL 8800,1,2001-08-14,150.0,81.35998107852413,120.0,60.0,300.0,7.0,1.0
151,Intel Pentium 4 1.9,0,2001-08-27,180.0,69.0,217.0,42.0,1900.0,2.0,2.0
152,Intel Pentium 4 1.9,0,2001-08-27,180.0,69.0,217.0,42.0,1900.0,2.0,2.0
153,Intel Pentium 4 1.4,0,2001-08-27,180.0,55.0,217.0,42.0,1400.0,2.0,2.0
154,Intel Pentium 4 2.0,0,2001-08-27,180.0,72.0,217.0,42.0,2000.0,2.0,2.0
155,Intel Pentium 4 1.80,0,2001-08-27,180.0,67.0,217.0,42.0,1800.0,2.0,2.0
156,Intel Pentium 4 1.6,0,2001-08-27,180.0,61.0,217.0,42.0,1600.0,2.0,2.0
157,Intel Pentium 4 1.7,0,2001-08-27,180.0,64.0,217.0,42.0,1700.0,2.0,2.0
158,Intel Pentium 4 2.0,0,2001-08-27,180.0,72.0,217.0,42.0,2000.0,2.0,2.0
159,Intel Pentium 4 1.5,0,2001-08-27,180.0,58.0,217.0,42.0,1500.0,2.0,2.0
160,ATI All-In-Wonder Radeon 8500DV,1,2001-08-30,150.0,81.35998107852413,120.0,60.0,230.0,7.0,1.0
161,ATI Mobility FireGL 7800,1,2001-09-29,150.0,27.0,68.0,60.0,280.0,7.0,1.0
162,NVIDIA GeForce3 Ti200,1,2001-10-01,150.0,81.35998107852413,128.0,57.0,175.0,7.0,3.0
163,NVIDIA GeForce2 Ti,1,2001-10-01,150.0,81.35998107852413,88.0,25.0,250.0,7.0,3.0
164,NVIDIA GeForce3 Ti500,1,2001-10-01,150.0,81.35998107852413,128.0,57.0,240.0,7.0,3.0
165,AMD Athlon XP 1800+,0,2001-10-09,180.0,66.0,150.0,37.0,1533.0,9.0,0.0
166,AMD Athlon XP 1700+,0,2001-10-09,180.0,64.0,150.0,37.0,1467.0,9.0,0.0
167,AMD Athlon XP 1500+,0,2001-10-09,180.0,60.0,150.0,63.0,1333.0,9.0,0.0
168,AMD Athlon XP 1600+,0,2001-10-09,180.0,63.0,150.0,37.0,1400.0,9.0,0.0
169,AMD Athlon XP 1900+,0,2001-11-05,180.0,68.0,150.0,37.0,1600.0,9.0,0.0
170,ATI All-In-Wonder Radeon 8500,1,2001-11-14,150.0,81.35998107852413,120.0,60.0,275.0,7.0,1.0
171,NVIDIA Xbox GPU,1,2001-11-15,150.0,81.35998107852413,142.0,57.0,233.0,7.0,3.0
172,Matrox Millennium G550 PCIe,1,2001-11-26,180.0,81.35998107852413,142.0,10.0,125.0,8.0,4.0
173,Matrox Millennium G550,1,2001-11-26,180.0,81.35998107852413,142.0,10.0,125.0,8.0,4.0
174,Intel Pentium III 1333,0,2001-12-01,130.0,30.0,80.0,44.0,1333.0,2.0,2.0
175,ATI Mobility Radeon 7500,1,2001-12-01,150.0,27.0,68.0,60.0,280.0,7.0,1.0
176,ATI Mobility Radeon 7500,1,2001-12-01,150.0,27.0,68.0,60.0,230.0,7.0,1.0
177,ATI Mobility Radeon,1,2001-12-01,180.0,81.35998107852413,115.0,30.0,144.0,7.0,1.0
178,ATI Mobility Radeon,1,2001-12-01,180.0,81.35998107852413,115.0,30.0,144.0,7.0,1.0
179,Intel Pentium III 1400,0,2001-12-01,130.0,31.0,80.0,44.0,1400.0,2.0,2.0
180,ATI Mobility Radeon 7500C,1,2001-12-01,150.0,27.0,68.0,60.0,230.0,7.0,1.0
181,ATI Mobility Radeon-P,1,2001-12-01,180.0,81.35998107852413,115.0,30.0,166.0,7.0,1.0
182,Intel Extreme Graphics,1,2002-01-01,150.0,81.35998107852413,115.0,30.0,200.0,2.0,2.0
183,Intel i830MG Graphics,1,2002-01-01,150.0,81.35998107852413,115.0,30.0,100.0,2.0,2.0
184,ATI Mobility FireGL 9000,1,2002-01-01,150.0,81.35998107852413,81.0,36.0,250.0,8.0,1.0
185,Matrox Millenium P650,1,2002-01-02,150.0,81.35998107852413,81.0,80.0,190.0,8.0,4.0
186,Matrox Millenium P750,1,2002-01-02,150.0,81.35998107852413,81.0,80.0,250.0,8.0,4.0
187,AMD Athlon XP 2000+,0,2002-01-07,180.0,70.0,150.0,37.0,1667.0,9.0,0.0
188,Intel Pentium 4 2.2,0,2002-01-07,130.0,92.0,146.0,55.0,2200.0,2.0,2.0
189,Intel Pentium 4 2.26,0,2002-01-07,130.0,110.0,146.0,55.0,2261.0,2.0,2.0
190,Intel Pentium 4 2.0,0,2002-01-07,130.0,92.0,146.0,125.0,2000.0,2.0,2.0
191,Intel Pentium III 1400S,0,2002-01-08,130.0,32.0,80.0,44.0,1400.0,2.0,2.0
192,ATI Radeon 8500 LE,1,2002-02-04,150.0,23.0,120.0,60.0,250.0,7.0,1.0
193,NVIDIA GeForce4 MX 420,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
194,NVIDIA GeForce4 Ti 4600,1,2002-02-06,150.0,81.35998107852413,142.0,63.0,300.0,7.0,3.0
195,NVIDIA GeForce4 MX 440-SE,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
196,NVIDIA GeForce4 440 Go,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,220.0,7.0,3.0
197,NVIDIA GeForce4 MX 440-SE,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
198,NVIDIA GeForce4 MX 440-SE,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
199,NVIDIA GeForce4 Ti 4200,1,2002-02-06,150.0,81.35998107852413,142.0,63.0,250.0,7.0,3.0
200,NVIDIA GeForce4 410 Go,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,200.0,7.0,3.0
201,NVIDIA GeForce4 Ti 4200-8X,1,2002-02-06,150.0,81.35998107852413,101.0,36.0,250.0,7.0,3.0
202,NVIDIA GeForce4 Ti 4200,1,2002-02-06,150.0,81.35998107852413,142.0,63.0,250.0,7.0,3.0
203,NVIDIA GeForce4 MX 440,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,275.0,7.0,3.0
204,NVIDIA GeForce4 MX 420 PCI,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
205,NVIDIA GeForce4 MX 460,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,300.0,7.0,3.0
206,NVIDIA GeForce4 420 Go,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,200.0,7.0,3.0
207,NVIDIA GeForce4 Ti 4400,1,2002-02-06,150.0,81.35998107852413,142.0,63.0,275.0,7.0,3.0
208,NVIDIA GeForce4 Ti 4200-8X,1,2002-02-06,150.0,81.35998107852413,101.0,36.0,250.0,7.0,3.0
209,NVIDIA GeForce4 MX 440 Mac Edition,1,2002-02-06,150.0,81.35998107852413,65.0,29.0,275.0,7.0,3.0
210,NVIDIA Quadro4 900 XGL,1,2002-02-19,150.0,81.35998107852413,142.0,63.0,300.0,7.0,3.0
211,NVIDIA Quadro4 700 XGL,1,2002-02-19,150.0,81.35998107852413,142.0,63.0,275.0,7.0,3.0
212,NVIDIA Quadro4 500 XGL,1,2002-02-19,150.0,81.35998107852413,65.0,29.0,250.0,7.0,3.0
213,NVIDIA Quadro4 550 XGL,1,2002-02-19,150.0,81.35998107852413,65.0,29.0,270.0,7.0,3.0
214,NVIDIA Quadro4 750 XGL,1,2002-02-19,150.0,81.35998107852413,142.0,63.0,275.0,7.0,3.0
215,Intel Xeon 2.0,0,2002-02-25,130.0,89.0,217.0,55.0,2000.0,2.0,2.0
216,NVIDIA GeForce4 488 Go,1,2002-03-01,150.0,81.35998107852413,65.0,29.0,300.0,7.0,3.0
217,NVIDIA GeForce4 448 Go,1,2002-03-01,150.0,81.35998107852413,65.0,29.0,200.0,7.0,3.0
218,Intel Pentium 4-M 1.60,0,2002-03-04,130.0,30.0,131.0,55.0,1600.0,2.0,2.0
219,Intel Pentium 4-M 1.70,0,2002-03-04,130.0,30.0,131.0,55.0,1700.0,2.0,2.0
220,AMD Athlon XP 2100+,0,2002-03-13,180.0,72.0,150.0,37.0,1733.0,9.0,0.0
221,Intel Pentium 4 2.4,0,2002-04-02,130.0,110.0,146.0,55.0,2400.0,2.0,2.0
222,ATI Radeon 7500 Mac Edition,1,2002-04-16,150.0,23.0,83.0,60.0,260.0,7.0,1.0
223,ATI All-In-Wonder Radeon 7500 VE,1,2002-04-16,150.0,81.35998107852413,83.0,60.0,260.0,7.0,1.0
224,ATI All-In-Wonder Radeon 7500,1,2002-04-16,150.0,81.35998107852413,83.0,60.0,260.0,7.0,1.0
225,Intel Pentium 4-M 1.80,0,2002-04-23,130.0,30.0,131.0,55.0,1800.0,2.0,2.0
226,NVIDIA Quadro4 500 Go GL,1,2002-04-23,150.0,81.35998107852413,65.0,29.0,220.0,7.0,3.0
227,Intel Pentium 4-M 1.50,0,2002-04-23,130.0,26.0,131.0,55.0,1500.0,2.0,2.0
228,Intel Xeon 2.4,0,2002-04-23,130.0,89.0,217.0,55.0,2394.0,2.0,2.0
229,Intel Pentium 4-M 1.40,0,2002-04-23,130.0,21.0,131.0,55.0,1400.0,2.0,2.0
230,ATI Radeon IGP 330M,1,2002-05-01,180.0,81.35998107852413,73.0,30.0,183.0,9.0,1.0
231,Intel Pentium 4 2.4,0,2002-05-06,130.0,92.0,146.0,55.0,2400.0,2.0,2.0
232,Intel Pentium 4 2.53,0,2002-05-06,130.0,110.0,146.0,55.0,2527.0,2.0,2.0
233,AMD Athlon XP 1800+,0,2002-06-10,130.0,51.0,80.0,37.0,1533.0,9.0,0.0
234,AMD Athlon XP 2200+,0,2002-06-10,130.0,68.0,80.0,37.0,1800.0,9.0,0.0
235,AMD Athlon XP 2000+,0,2002-06-10,130.0,60.0,80.0,37.0,1667.0,9.0,0.0
236,AMD Athlon XP 2000+,0,2002-06-10,130.0,60.0,80.0,37.0,1667.0,9.0,0.0
237,Matrox Millennium G450 x4 MMS,1,2002-06-19,180.0,81.35998107852413,80.0,10.0,125.0,8.0,4.0
238,Matrox Millennium G450 x2 MMS,1,2002-06-19,180.0,81.35998107852413,80.0,10.0,125.0,8.0,4.0
239,Intel Pentium 4-M 2.00,0,2002-06-24,130.0,32.0,131.0,55.0,2000.0,2.0,2.0
240,Intel Pentium 4-M 1.90,0,2002-06-24,130.0,32.0,131.0,55.0,1900.0,2.0,2.0
241,Matrox Parhelia 128 MB,1,2002-06-25,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
242,Matrox Parhelia 128 MB,1,2002-06-25,150.0,81.35998107852413,174.0,80.0,220.0,8.0,4.0
243,Matrox Parhelia 256 MB,1,2002-06-25,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
244,ATI Radeon 9700 PRO X4,1,2002-07-01,150.0,81.35998107852413,215.0,110.0,325.0,7.0,1.0
245,ATI FireGL 9700 X1-128,1,2002-07-01,150.0,81.35998107852413,215.0,110.0,325.0,7.0,1.0
246,ATI Radeon 9000 LE,1,2002-07-01,150.0,28.0,97.0,36.0,250.0,7.0,1.0
247,ATI Radeon 9000,1,2002-07-01,150.0,28.0,97.0,36.0,250.0,7.0,1.0
248,ATI All-In-Wonder 9500,1,2002-07-01,150.0,81.35998107852413,215.0,110.0,277.0,7.0,1.0
249,ATI FireGL 9700 X1-256,1,2002-07-01,150.0,37.0,215.0,110.0,325.0,7.0,1.0
